,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,VISIT_AREA_NM,total_score,VISIT_AREA_NM_encoded
35,0,20,1,1,1,2,휴애리자연생활공원,0.5833333333333333,300
36,0,20,1,1,1,1,주상절리대,0.75,240
37,0,20,1,1,1,1,동명정류장,0.5833333333333333,54
38,1,30,2,2,1,3,검멀레해변,0.5,5
39,1,40,1,1,3,1,만장굴,1.0,72
40,0,20,1,1,3,3,보롬왓,1.0,88
41,1,30,1,1,1,2,새연교,1.0,115
42,0,40,1,1,1,1,관덕정,1.0,7
43,0,40,1,1,1,1,제주돌문화공원,0.75,209
44,1,20,1,1,1,1,메이즈랜드,0.75,73
45,1,20,1,2,1,3,제주국제공항,0.9166666666666664,203
46,1,20,1,2,1,3,제주국제공항,0.9166666666666664,203
47,1,20,2,2,2,2,하고수동해변,0.5833333333333333,277
48,1,20,2,2,2,2,우도잠수함,0.75,183
49,1,30,3,1,1,1,삼양해수욕장,1.0,111
50,1,30,3,1,1,1,사라봉공원,1.0,101
51,1,30,1,1,1,1,마방목지,0.5833333333333333,69
52,1,30,1,1,1,1,성산스쿠버리조트,1.0,131
53,1,30,2,3,3,2,이중섭거리,1.0,191
54,1,20,1,1,3,3,여미지식물원,1.0,170
55,0,40,1,1,1,2,아부오름,1.0,152
56,0,30,1,1,1,1,너븐숭이4.3기념관,0.3333333333333332,32
57,0,50,1,1,1,1,거문오름,1.0,3
58,1,20,1,1,1,1,제주민속촌,0.5833333333333333,211
59,0,40,1,1,1,1,헬로키티아일랜드,0.5,292
60,1,20,3,3,2,3,본태박물관,0.5,90
61,1,50,1,1,1,2,도두봉,0.6666666666666666,49
62,1,50,1,3,1,1,안덕계곡,0.75,155
63,0,40,1,1,1,3,제주조천스위스마을,0.5,224
64,1,30,1,2,1,3,선운정사,0.0,129
65,1,30,1,2,1,3,비블리아성서식물원,0.75,96
66,1,20,1,1,1,1,우도등대,1.0,181
67,1,30,1,1,1,1,환상숲곶자왈공원,1.0,297
68,1,20,1,2,1,1,감귤박물관,0.5,2
69,1,20,3,1,1,2,애월더선셋,1.0,157
70,1,30,1,1,2,1,서귀포잠수함,0.5833333333333333,119
71,1,30,1,1,2,1,야크마을,0.75,161
72,1,20,1,1,2,3,약천사,1.0,162
73,0,30,1,2,1,2,원앙폭포,0.4166666666666666,184
74,1,30,2,1,2,1,이중섭거주지,1.0,192
75,1,20,1,1,1,1,해녀박물관,1.0,290
76,0,50,3,1,1,1,신양섭지해수욕장,1.0,148
77,0,40,2,2,3,1,제주항공우주박물관,0.6666666666666666,233
78,0,40,2,3,1,1,한라수목원,0.1666666666666666,286
79,1,30,1,3,1,1,생각하는정원,0.75,116
80,1,30,1,3,1,1,돼지굽는정원,0.5833333333333333,57
81,1,30,1,2,1,2,범섬,1.0,85
82,1,30,1,2,1,2,양가형제,1.0,163
83,1,30,1,2,1,2,제주901,0.75,200
84,0,30,1,1,3,1,일출랜드,1.0,197
85,1,20,2,1,1,1,이중섭미술관,0.5833333333333333,193
86,0,20,3,1,1,3,관음사,0.75,8
87,1,20,1,1,1,1,동백동산,0.75,55
88,0,40,1,1,1,1,붉은오름자연휴양림,1.0,91
89,0,30,1,1,2,3,서귀포치유의숲,0.6666666666666666,121
90,0,30,1,1,1,2,제주해양동물박물관,1.0,235
91,0,20,3,1,2,1,삼성혈,0.1666666666666666,110
92,0,30,1,1,2,2,이호테우해수욕장,1.0,194
93,1,30,1,3,1,3,제주곶자왈도립공원,0.6666666666666666,202
94,1,30,1,3,1,1,점보빌리지,0.6666666666666666,198
95,1,30,1,1,2,1,더마파크,1.0,47
